,Ticker,Price,Market Capitalization,Number Of Shares to Buy
0,A,152.11,45035518004,N/A
1,AAL,13.99,9092113409,N/A
2,AAP,153.16,9207709485,N/A
3,AAPL,125.02,1988832912360,N/A
4,ABBV,163.49,289128878253,N/A
5,ABC,163.08,33540439854,N/A
6,ABMD,381.02,17180642928,N/A
7,ABT,110.8,193187974492,N/A
8,ACN,262.98,173143011149,N/A
9,ADBE,328.44,152691756000,N/A
10,ADI,159.69,81329468818,N/A
11,ADM,84.23,46270421940,N/A
12,ADP,233.63,96916211671,N/A
13,ADSK,182.07,39284787633,N/A
14,AEE,86,22232906534,N/A
15,AEP,93.78,48190135723,N/A
16,AES,25.87,17279860757,N/A
17,AFL,71.5,44457882040,N/A
18,AIG,63.51,47186660435,N/A
19,AIV,7.09,1075072149,N/A
20,AIZ,126.16,6665213083,N/A
21,AJG,186.44,39309009600,N/A
22,AKAM,84.62,13305842749,N/A
23,ALB,218.61,25610772296,N/A
24,ALGN,219.82,17170656997,N/A
25,ALK,44.11,5594816725,N/A
26,ALL,139.34,36954302041,N/A
27,ALLE,107.75,9465279571,N/A
28,ALXN,182.5,40336009475,N/A
29,AMAT,97.92,82658161578,N/A
30,AMCR,11.92,17749113108,N/A
31,AMD,62.33,100498159577,N/A
32,AME,137.98,31687713698,N/A
33,AMGN,266.86,142390946913,N/A
34,AMP,308.75,32856310191,N/A
35,AMT,212.13,98768916564,N/A
36,AMZN,83.11,847859478567,N/A
37,ANET,109.49,33457145726,N/A
38,ANSS,231.65,20179549238,N/A
39,ANTM,482.58,116342693132,N/A
40,AON,300.35,62128279328,N/A
41,AOS,59.38,9071810793,N/A
42,APA,41.76,13426332810,N/A
43,APD,301.82,66963587367,N/A
44,APH,76.7,45643751218,N/A
45,APTV,95.86,25973226643,N/A
46,ARE,143.05,23472684832,N/A
47,ATO,108.87,15352409089,N/A
48,ATVI,76.96,60230844550,N/A
49,AVB,157.98,22100983511,N/A
50,AVGO,555.02,231935165423,N/A
51,AVY,183.12,14827045844,N/A
52,AWK,154.67,28123317272,N/A
53,AXP,146.43,109417283675,N/A
54,AZO,2416.57,45348557568,N/A
55,BA,204.99,121725351533,N/A
56,BAC,34.07,273324266383,N/A
57,BAX,52.57,26501628301,N/A
58,BBY,81.51,18035265646,N/A
59,BDX,255.31,72576456442,N/A
60,BEN,27.33,13672052561,N/A
61,BF.B,63.74,30507190804,N/A
62,BIIB,271.59,39109341312,N/A
63,BIO,430.37,12704937277,N/A
64,BK,47.21,38158896392,N/A
65,BKNG,2144.94,83200909897,N/A
